comments,play_num,title,length,video_review,favorites,video_id,update_time
75,6903,【子怡】一枪击中你的心 ▶▷『KILL THIS LOVE』,01:36,51,237,56068077,2019-06-19 16:30:31
456,230783,【子怡】小鹿乱撞❤大学篮球场羞耻乱撞~只想撞进你心里！,01:19,307,6990,55543318,2019-06-14 14:14:01
57,10467,【子怡】(G)I-DLE♦Senorita♢极速变装双重体验~你选？,01:54,40,890,51700120,2019-05-07 16:00:37
39,2916,【子怡】堪堪  正逢初春时,02:41,44,196,50406280,2019-04-25 16:00:48
148,26994,【子怡】阿房宫赋＊高考背诵课文『原创编舞 』,02:54,160,1148,49470550,2019-04-16 10:00:08
56,18204,【子怡】不染：练习室版,01:40,17,857,48846639,2019-04-10 08:00:31
93,7043,【子怡】触摸天空☆热爱B站 无法取代【BDF2019】,02:18,47,288,48695588,2019-04-08 15:23:24
30,4077,【子怡】‘’I LOVE YOU‘’❤EXID~在线比心,03:17,65,165,44647886,2019-02-25 16:00:49
66,9853,【子怡】IZONE❤La Vie en Rose◆玫瑰人生◆,02:31,67,487,43622712,2019-02-15 13:04:46
172,27774,【子怡】❉《丽人行》❉古典汉唐❤贺岁作,02:20,70,1144,42505017,2019-02-03 12:39:42
171,12488,【子怡】梅雪酒剑歌❈绸扇【原创编舞】,01:59,102,674,40768651,2019-01-15 14:00:26
280,140595,【子怡】改革春风吹满地×2019新年惊喜！沙雕up×原创编舞,01:20,291,3274,40153784,2019-01-07 15:56:54
122,43065,【子怡】不开心就要消你呀❤欢乐充电【原创编舞】,02:06,48,2046,39513484,2018-12-31 15:28:55
92,11670,【子怡】千里邀月❤请来领取你的小仙女！,02:41,73,721,39259752,2018-12-29 09:13:07
70,11818,【子怡】JENNIE★SOLO★韩舞性感高跟初尝试,01:02,40,657,38175360,2018-12-15 16:30:01
57,4786,【子怡】寄明月☽ 将相思寄你心头♡,02:26,38,290,37938721,2018-12-11 18:20:32
105,7858,【子怡】原创编舞▶绝代风华◀天下3十周年主题曲,02:11,63,362,37439087,2018-12-05 11:00:04
148,14279,【子怡】夜宴风波❀醉生梦死❀（音阙诗听）,03:21,100,649,37123362,2018-12-01 10:00:02
71,12071,【子怡】江南夜❀高跟旗袍❀多情长想你的模样,03:32,88,994,36433478,2018-11-21 14:51:02
115,23077,【子怡】原创编舞♡浪人琵琶♡对你情有独钟,04:18,126,834,36311474,2018-11-19 16:22:56
23,3219,【子怡】一花依世界& 未来与你们一起,01:56,25,153,35604037,2018-11-09 19:25:19
110,91577,【子怡】原创编舞【出山】一瞬三年五载,01:48,81,1382,35124574,2018-11-02 17:17:18
30,2057,【子怡】月圆花好-浮云散 明月照人来 来到我心里,02:36,9,50,34640734,2018-10-26 17:40:50
51,11693,【子怡】一生等你 ♡ 原创古风编舞 ♡,01:57,36,538,33485448,2018-10-09 18:05:18
64,16971,【子怡】原创编舞 ஐ不 染ஐ古风,02:11,53,378,32678838,2018-09-29 11:44:03
